Year,Date,Day,Name,Type
2015,1-Jan,Thursday,New Year's Day,Federal Holiday
2015,19-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2015,16-Feb,Monday,Presidents' Day,Federal Holiday
2015,25-May,Monday,Memorial Day,Federal Holiday
2015,3-Jul,Friday,Independence Day (substitute),Federal Holiday
2015,4-Jul,Saturday,Independence Day,Federal Holiday
2015,7-Sep,Monday,Labor Day,Federal Holiday
2015,12-Oct,Monday,Columbus Day,Federal Holiday
2015,11-Nov,Wednesday,Veterans Day,Federal Holiday
2015,26-Nov,Thursday,Thanksgiving Day,Federal Holiday
2015,25-Dec,Friday,Christmas Day,Federal Holiday
2016,1-Jan,Friday,New Year's Day,Federal Holiday
2016,18-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2016,15-Feb,Monday,Presidents' Day,Federal Holiday
2016,30-May,Monday,Memorial Day,Federal Holiday
2016,4-Jul,Monday,Independence Day,Federal Holiday
2016,5-Sep,Monday,Labor Day,Federal Holiday
2016,10-Oct,Monday,Columbus Day,Federal Holiday
2016,11-Nov,Friday,Veterans Day,Federal Holiday
2016,24-Nov,Thursday,Thanksgiving Day,Federal Holiday
2016,25-Dec,Sunday,Christmas Day,Federal Holiday
2016,26-Dec,Monday,Christmas Day (substitute),Federal Holiday
2017,1-Jan,Sunday,New Year's Day,Federal Holiday
2017,2-Jan,Monday,New Year's Day (substitute),Federal Holiday
2017,16-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2017,20-Jan,Friday,Inauguration Day,Federal Holiday
2017,20-Feb,Monday,Presidents' Day,Federal Holiday
2017,29-May,Monday,Memorial Day,Federal Holiday
2017,4-Jul,Tuesday,Independence Day,Federal Holiday
2017,4-Sep,Monday,Labor Day,Federal Holiday
2017,9-Oct,Monday,Columbus Day,Federal Holiday
2017,10-Nov,Friday,Veterans Day (substitute),Federal Holiday
2017,11-Nov,Saturday,Veterans Day,Federal Holiday
2017,23-Nov,Thursday,Thanksgiving Day,Federal Holiday
2017,25-Dec,Monday,Christmas Day,Federal Holiday
2018,1-Jan,Monday,New Year's Day,Federal Holiday
2018,15-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2018,19-Feb,Monday,Presidents' Day,Federal Holiday
2018,28-May,Monday,Memorial Day,Federal Holiday
2018,4-Jul,Wednesday,Independence Day,Federal Holiday
2018,3-Sep,Monday,Labor Day,Federal Holiday
2018,8-Oct,Monday,Columbus Day,Federal Holiday
2018,11-Nov,Sunday,Veterans Day,Federal Holiday
2018,12-Nov,Monday,Veterans Day (substitute),Federal Holiday
2018,22-Nov,Thursday,Thanksgiving Day,Federal Holiday
2018,24-Dec,Monday,Christmas Eve,Federal Holiday
2018,25-Dec,Tuesday,Christmas Day,Federal Holiday
2019,1-Jan,Tuesday,New Year's Day,Federal Holiday
2019,21-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2019,18-Feb,Monday,Presidents' Day,Federal Holiday
2019,27-May,Monday,Memorial Day,Federal Holiday
2019,4-Jul,Thursday,Independence Day,Federal Holiday
2019,2-Sep,Monday,Labor Day,Federal Holiday
2019,14-Oct,Monday,Columbus Day,Federal Holiday
2019,11-Nov,Monday,Veterans Day,Federal Holiday
2019,28-Nov,Thursday,Thanksgiving Day,Federal Holiday
2019,24-Dec,Tuesday,Christmas Eve,Federal Holiday
2019,25-Dec,Wednesday,Christmas Day,Federal Holiday
2020,1-Jan,Wednesday,New Year's Day,Federal Holiday
2020,20-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2020,17-Feb,Monday,Presidents' Day,Federal Holiday
2020,25-May,Monday,Memorial Day,Federal Holiday
2020,3-Jul,Friday,Independence Day (substitute),Federal Holiday
2020,4-Jul,Saturday,Independence Day,Federal Holiday
2020,7-Sep,Monday,Labor Day,Federal Holiday
2020,12-Oct,Monday,Columbus Day,Federal Holiday
2020,11-Nov,Wednesday,Veterans Day,Federal Holiday
2020,26-Nov,Thursday,Thanksgiving Day,Federal Holiday
2020,24-Dec,Thursday,Christmas Eve,Federal Holiday
2020,25-Dec,Friday,Christmas Day,Federal Holiday
2021,1-Jan,Friday,New Year's Day,Federal Holiday
2021,18-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2021,20-Jan,Wednesday,Inauguration Day,Federal Holiday
2021,15-Feb,Monday,Presidents' Day,Federal Holiday
2021,31-May,Monday,Memorial Day,Federal Holiday
2021,18-Jun,Friday,Juneteenth (substitute),Federal Holiday
2021,19-Jun,Saturday,Juneteenth,Federal Holiday
2021,4-Jul,Sunday,Independence Day,Federal Holiday
2021,5-Jul,Monday,Independence Day (substitute),Federal Holiday
2021,6-Sep,Monday,Labor Day,Federal Holiday
2021,11-Oct,Monday,Columbus Day,Federal Holiday
2021,11-Nov,Thursday,Veterans Day,Federal Holiday
2021,25-Nov,Thursday,Thanksgiving Day,Federal Holiday
2021,24-Dec,Friday,Christmas Day (substitute),Federal Holiday
2021,25-Dec,Saturday,Christmas Day,Federal Holiday
2021,31-Dec,Friday,New Year's Day (substitute),Federal Holiday
2022,1-Jan,Saturday,New Year's Day,Federal Holiday
2022,17-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2022,21-Feb,Monday,Presidents' Day,Federal Holiday
2022,30-May,Monday,Memorial Day,Federal Holiday
2022,19-Jun,Sunday,Juneteenth,Federal Holiday
2022,20-Jun,Monday,Juneteenth (substitute),Federal Holiday
2022,4-Jul,Monday,Independence Day,Federal Holiday
2022,5-Sep,Monday,Labor Day,Federal Holiday
2022,10-Oct,Monday,Columbus Day,Federal Holiday
2022,11-Nov,Friday,Veterans Day,Federal Holiday
2022,24-Nov,Thursday,Thanksgiving Day,Federal Holiday
2022,25-Dec,Sunday,Christmas Day,Federal Holiday
2022,26-Dec,Monday,Christmas Day (substitute),Federal Holiday
2023,1-Jan,Sunday,New Year's Day,Federal Holiday
2023,2-Jan,Monday,New Year's Day (substitute),Federal Holiday
2023,16-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2023,20-Feb,Monday,Presidents' Day,Federal Holiday
2023,29-May,Monday,Memorial Day,Federal Holiday
2023,19-Jun,Monday,Juneteenth,Federal Holiday
2023,4-Jul,Tuesday,Independence Day,Federal Holiday
2023,4-Sep,Monday,Labor Day,Federal Holiday
2023,9-Oct,Monday,Columbus Day,Federal Holiday
2023,10-Nov,Friday,Veterans Day (substitute),Federal Holiday
2023,11-Nov,Saturday,Veterans Day,Federal Holiday
2023,23-Nov,Thursday,Thanksgiving Day,Federal Holiday
2023,25-Dec,Monday,Christmas Day,Federal Holiday
2024,1-Jan,Monday,New Year's Day,Federal Holiday
2024,15-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
2024,19-Feb,Monday,Presidents' Day,Federal Holiday
2024,27-May,Monday,Memorial Day,Federal Holiday
2024,19-Jun,Wednesday,Juneteenth,Federal Holiday
2024,4-Jul,Thursday,Independence Day,Federal Holiday
2024,2-Sep,Monday,Labor Day,Federal Holiday
2024,14-Oct,Monday,Columbus Day,Federal Holiday
2024,11-Nov,Monday,Veterans Day,Federal Holiday
2024,28-Nov,Thursday,Thanksgiving Day,Federal Holiday
2024,25-Dec,Wednesday,Christmas Day,Federal Holiday
